Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"جدول رقم (33): قيم أصول الصناديق الخاصة مصنفة حسب نوع الاستثمار
Table (33): Values of Private Funds Assets Classified by Type of Investment",,,,,,,,,,,,
,,,,,,,,,,,,," (مليون ريال)
 (Million Riyals)"
نهاية الفترة,أسهم,أدوات دين,أسواق نقد,عقاري,متعدد الأصول,"التحوط 
والمشتقات المالية",مغذي,تمويلي,أسهم الملكية الخاصة,رأس المال الجريء,وقفي,سلع,الإجمالي
End of Period,Equities,Debt Instruments,Money Markets,Real Estates,Multi-assets,Hedging and Other Derivatives,Feeder Fund ,Credit Base Fund,Private equity,Venture capital,Endowment Investment,Commodities,Total
"النصف الأول عام 2013م
First half 2013",10865.07,10.4,420.39,17733.25,571.21,2323.87,-,-,-,-,-,47.85,31972.04
"النصف الثاني عام 2013م
Second half 2013",11536.9,4.2,608.5,21437.2,602,2404.9,-,-,-,-,-,50.7,36644.4
"النصف الأول عام 2014م
First half 2014",13337.08,3.03,868.37,30917.56,538.94,2522.65,-,-,-,-,-,47.44,48235.07
"النصف الثاني عام 2014م
Second half 2014",13667.79,126.21,1688.74,33068.11,506.48,2329.07,-,-,-,-,-,46.8,51433.2
"النصف الأول عام  2015م
First half 2015",13771.24,410.02,1783.46,35109.37,409.03,2470,-,-,-,-,-,247.11,54200.23
"الربع الثالث عام  2015م
Third quarter 2015",22943,412.38,1952.17,42879.45,496.33,2284.19,-,-,-,-,-,252.53,71220.05
"الربع الرابع عام  2015م
Fourth quarter 2015",23499.24,3085.04,1725.27,45466.75,1145.78,2220.22,-,-,-,-,-,252.23,77394.53
"الربع الأول عام  2016م
First quarter 2016",25845.3961622,3092.705883,1603.82495235,39839.564976,1114.69849421,1960.32897463,-,-,-,-,-,300.989934113,73757.5093765
"الربع الثاني عام  2016م
Second quarter 2016",26234.5179952,3077.21098765,1257.79677949,44042.5062973,1133.71422049,1497.6101044,-,-,-,-,-,317.461092224,77560.8174767
"الربع الثالث عام  2016م
Third quarter 2016",27417.46,2807.14,1509.39,44965.14,1167.53,1498.48,-,-,-,-,-,317.78,79682.92
"الربع الرابع عام  2016م
Fourth quarter 2016",62300.49,2801.25,1412.66,54960.08,6207.26,658.16,-,-,-,-,-,325.54,128665.44
"الربع الأول عام  2017م
First quarter 2017",62166.0207513,2807.428865,1592.94568468,54891.9953597,6459.86557835,661.19,-,-,-,-,-,318.485174845,128897.931414
"الربع الثاني عام  2017م
Second quarter 2017",77137.4548211,4138.762136,1550.34056923,56822.77,8737.87698891,669.956569825,-,-,-,-,-,321.444865589,149378.605951
"الربع الثالث عام  2017م
Third quarter 2017",75919.72,4489.85,1626.95,58393.93,6941.12,674.77,-,-,-,-,-,325.9,148372.24
"الربع الرابع عام  2017م
Fourth quarter 2017",75857.11,4600.53,1674.49,57686.74,816.25,666.31,-,-,-,-,-,332.02,141633.45
